ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Effort
1.0,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4,0,4.0,7490.0,7490.0
2.0,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,2,0,17.0,4150.0,4150.0
3.0,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,1,0,9.0,668.0,668.0
4.0,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,1,0,4.0,3901.0,3238.0
5.0,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,1,0,13.0,3607.0,2994.0
6.0,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,1,0,4.0,1606.0,1333.0
7.0,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,1,0,6.0,1936.0,1607.0
8.0,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,2,0,7.0,1158.0,1158.0
9.0,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,1,0,6.0,1498.0,1243.0
10.0,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,1,0,7.0,4063.0,3372.0
11.0,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,1,0,9.0,10200.0,10200.0
12.0,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,1,0,7.0,2053.0,1704.0
13.0,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,2,0,7.0,3034.0,2640.0
14.0,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,1,0,26.0,3348.0,3348.0
15.0,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,1,0,7.0,814.0,676.0
16.0,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,1,0,3.0,911.0,911.0
17.0,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,1,0,6.4,2496.0,2496.0
18.0,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,1,0,10.0,1171.0,1171.0
19.0,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,1,0,13.0,3532.0,3532.0
20.0,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1,0,1.0,525.0,436.0
21.0,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,1,0,4.0,1095.0,909.0
22.0,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,1,0,6.0,10957.0,9094.0
23.0,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,1,0,6.0,344.0,344.0
24.0,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,4,0,3.0,296.0,296.0
25.0,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,1,0,13.0,4220.0,3503.0
26.0,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1,0,1.0,296.0,246.0
27.0,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,2,0,24.0,2082.0,2082.0
28.0,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,4,0,7.0,191.0,191.0
29.0,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,1,0,15.0,3583.0,2974.0
30.0,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,1,0,2.0,395.0,328.0
31.0,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,1,0,8.0,406.0,406.0
32.0,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,1,0,8.0,2151.0,1785.0
33.0,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,2,0,8.0,471.0,471.0
34.0,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,2,0,5.0,700.0,700.0
35.0,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,1,0,2.0,698.0,579.0
36.0,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,1,0,3.0,1459.0,1211.0
37.0,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,1,0,4.0,1372.0,1139.0
38.0,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,2,0,19.0,16690.0,14520.0
39.0,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,1,0,2.0,239.0,239.0
40.0,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5.0,1520.0,1262.0
41.0,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,1,0,8.0,1754.0,1754.0
42.0,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,1,0,6.0,1824.0,1514.0
43.0,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,1,0,8.0,804.0,667.0
44.0,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,1,0,20.0,5864.0,5864.0
45.0,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,1,0,3.0,1172.0,973.0
46.0,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,2,0,13.0,5333.0,5333.0
47.0,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,2,0,8.0,1775.0,1775.0
48.0,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,1,0,5.0,246.0,204.0
49.0,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,1,0,7.0,3793.0,3148.0
50.0,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,1,0,12.0,10501.0,8716.0
51.0,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,1,0,6.0,1464.0,1464.0
52.0,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,1,0,2.0,1636.0,1358.0
53.0,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,2,0,7.0,281.0,281.0
54.0,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,1,0,5.0,2796.0,2321.0
55.0,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,1,0,13.0,4884.0,4054.0
56.0,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,4,0,84.0,2400.0,2400.0
57.0,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,1,0,13.0,5650.0,5650.0
58.0,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,1,0,2.0,1837.0,1525.0
59.0,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,1,0,2.0,575.0,477.0
