Project_No,Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,Language,Methodology,ApplicationType
1,1.0,1,2,9,6,10,15,355,0.81,0.84,398.5,7970,Java,,
2,1.0,2,1,8,4,20,15,445,0.99,0.99,398.1,7962,,,
3,0.0,0,3,9,1,5,20,355,1.03,0.8,396.75,7935,C#,,Business Application
4,0.0,1,2,8,5,10,15,350,0.9,0.91,390.25,7805,C++,,Real-Time application
5,1.0,2,1,8,1,10,16,345,0.9,0.91,387.9,7758,,Waterfall,Real-Time Application
6,2.0,0,2,8,1,13,14,345,0.99,0.99,382.15,7643,Java,Personal Software Process (PSP),Business Application
7,0.0,2,1,7,3,18,15,420,0.94,1.02,376.6,7532,Java,Rapid Application Development,Business Application
8,0.0,1,2,8,0,16,12,340,1.03,0.8,372.55,7451,C,,Business Application
9,,1,2,8,2,10,15,335,0.94,1.02,372.45,7449,C#,,Business Application
10,4.0,0,1,7,4,14,17,415,1.025,0.98,371.35,7427,Java,,
11,1.0,2,1,8,5,16,10,335,0.92,0.78,370.3,7406,C#,,Business Application
12,0.0,1,2,8,1,10,15,330,0.85,0.89,368.25,7365,CSP,,Business Application
13,1.0,0,2,7,9,8,19,410,0.75,0.81,367.5,7350,C#,,Business Application
14,1.0,0,2,7,5,8,20,405,1.02,1.085,365.15,7303,C#,Unified Process and its variants,Business Application
15,0.0,1,2,8,2,15,11,325,1.095,0.95,362.6,7252,C++,,
16,0.0,1,2,8,1,8,16,325,0.92,0.78,362.25,7245,C#,Waterfall,
17,0.0,2,1,7,2,15,16,400,0.75,0.81,358.3,7166,.Net,,Business Application
18,2.0,1,1,7,5,11,17,390,0.965,0.755,355.95,7119,C#,,Mathematically-Intensive Application
19,0.0,1,2,8,3,9,14,315,0.92,0.78,355.55,7111,C++,,Mathematically-Intensive Application
20,4.0,2,0,8,2,14,11,315,1.05,0.95,352.2,7044,,,
21,1.0,0,2,7,5,14,15,390,0.71,0.73,352.0,7040,Java,,Business Application
22,2.0,1,1,7,3,23,10,395,1.02,1.085,351.4,7028,C#,Waterfall,Business Application
23,0.0,1,2,8,1,16,10,315,1.03,0.8,347.1,6942,XML,,Business Application
24,1.0,0,2,7,1,15,10,305,0.965,0.755,340.7,6814,,Waterfall,Mathematically-Intensive Application
25,0.0,0,3,9,2,19,12,380,0.78,0.79,340.45,6809,C#,,Business Application
26,0.0,1,2,8,2,20,11,375,0.98,0.97,340.1,6802,C#,Waterfall,
27,1.0,1,3,12,0,14,11,305,0.78,0.51,339.35,6787,,,
28,1.0,0,2,7,1,9,14,305,1.08,0.77,338.2,6764,,,
29,0.0,2,1,7,4,15,14,380,1.05,0.95,338.05,6761,SQL,,Business Application
30,0.0,2,1,7,0,15,10,300,0.85,0.89,336.25,6725,,Waterfall,Real-Time Application
31,1.0,0,2,7,1,16,9,300,1.02,1.085,334.5,6690,,,
32,0.0,2,1,7,0,18,8,300,1.08,0.77,330.0,6600,Oracle,Multifunctional Teams,Business Application
33,2.0,1,1,7,0,17,8,290,0.94,1.02,323.7,6474,Visual Basic,,
34,0.0,0,2,6,0,13,15,355,0.95,0.92,321.65,6433,C#,,Infrastructure Software
35,1.0,0,2,7,1,13,10,285,0.78,0.79,320.8,6416,C#,,Business Application
36,0.0,1,2,8,0,14,10,290,0.94,1.02,320.6,6412,C#,Incremental,
37,0.0,0,2,6,4,20,9,355,0.9,0.94,320.0,6400,Visual Basic,Waterfall,Business Application
38,1.0,0,2,7,1,10,12,285,0.71,0.73,318.0,6360,C#,,
39,0.0,0,2,6,0,13,15,355,0.9,0.91,316.85,6337,Visual Basic,,
40,2.0,2,4,18,1,20,27,610,0.72,0.67,312.0,6240,,,Business Application
41,1.0,0,2,7,1,11,11,280,0.78,0.51,311.6,6232,C#,,Business Application
42,1.0,0,2,7,1,14,9,280,1.03,0.8,308.65,6173,DELPHI,Rapid Application Development (RAD),Business Application
