ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Effort,
1,1587,774,260,340,128,0,1502,0,0,4.7,5,4.7,5,4,0,4,7490,7490,20
2,260,9,4,3,193,41,51,138,61,16,16.6,16,16.6,2,0,17,4150,4150,
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,1,0,9,668,668,
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,1,0,4,3901,3238,
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,1,0,13,3607,2994,
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,1,0,4,1606,1333,
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,1,0,6,1936,1607,
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,2,0,7,1158,1158,
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13,1,0,6,1498,1243,
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,1,0,7,4063,3372,
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,1,0,9,10200,10200,
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,1,0,7,2053,1704,
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,2,0,7,3034,2640,
14,176,13,54,54,40,7,168,0,0,19,19.9,19,19.9,1,0,26,3348,3348,
15,391,208,26,81,25,0,38,302,0,1.7,2,2.1,2.4,1,0,7,814,676,
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,1,0,3,911,911,
17,42,12,15,3,7,15,52,0,0,59.4,48,59.4,48,1,0,6.4,2496,2496,
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,1,0,10,1171,1171,
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,1,0,13,3532,3532,
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1,0,1,525,436,
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,1,0,4,1095,909,
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,1,0,6,10957,9094,
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,1,0,6,344,344,
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,4,0,3,296,296,
25,106,65,4,12,14,0,35,53,7,33,36.9,39.8,44.4,1,0,13,4220,3503,
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1,0,1,296,246,
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,2,0,24,2082,2082,
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,4,0,7,191,191,
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,1,0,15,3583,2974,
30,331,100,44,61,107,0,312,0,0,1,1.1,1.2,1.3,1,0,2,395,328,
31,101,16,5,39,52,0,112,0,0,4,3.6,4,3.6,1,0,8,406,406,
32,192,9,102,0,10,77,198,0,0,9.3,9,11.2,10.9,1,0,8,2151,1785,
33,60,39,4,0,14,10,39,22,6,7.9,7,7.9,7,2,0,8,471,471,
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,2,0,5,700,700,
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,1,0,2,698,579,
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20,20.3,1,0,3,1459,1211,
37,143,63,0,27,45,0,14,121,0,8,8.4,9.6,10.2,1,0,4,1372,1139,
38,2190,706,648,236,235,0,1825,0,0,6.6,8,7.6,9.1,2,0,19,16690,14520,
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,1,0,2,239,239,
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5,1520,1262,
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,1,0,8,1754,1754,
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10,10.1,1,0,6,1824,1514,
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,1,0,8,804,667,
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,1,0,20,5864,5864,
45,348,198,14,33,77,0,10,312,0,2.8,3,3.4,3.6,1,0,3,1172,973,
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,2,0,13,5333,5333,
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,2,0,8,1775,1775,
48,206,0,199,0,0,5,100,104,0,1,1,1.2,1.2,1,0,5,246,204,
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,1,0,7,3793,3148,
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,1,0,12,10501,8716,
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,1,0,6,1464,1464,
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,1,0,2,1636,1358,
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,2,0,7,281,281,
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28,1,0,5,2796,2321,
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,1,0,13,4884,4054,
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,4,0,84,2400,2400,
57,283,20,125,39,91,17,292,0,0,20,19.3,20,19.3,1,0,13,5650,5650,
58,109,0,84,0,17,5,47,59,0,14,14.4,16.9,17.3,1,0,2,1837,1525,
59,160,0,21,72,25,40,74,68,16,3,3,3.6,3.6,1,0,2,575,477,
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,1,0,2,606,503,
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,1,0,10,10205,8470,
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,1,0,3,937,778,
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,4,0,7.5,2597,2597,
64,610,137,174,117,147,0,575,0,0,1.6,1.7,1.6,1.7,1,0,3,950,950,
65,562,165,125,93,119,0,502,0,0,10.2,11.4,10.2,11.4,3,0,13,5727,5727,
66,156,21,38,39,7,41,146,0,0,13.1,14,15.8,16.8,1,0,4,2458,2040,
67,75,30,5,19,21,0,40,35,0,49,49,59.1,59.1,1,0,8,4430,3677,
68,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,1,0,2,687,570,
69,96,13,56,0,10,40,119,0,0,12.7,10.3,47.2,38.1,2,0,8,4530,1223,
70,78,24,24,9,21,0,78,0,0,12.5,12.5,13.9,13.9,1,0,4,1084,976,
71,51,42,0,14,0,0,20,36,0,7.6,6.9,9.1,8.3,1,0,12,466,387,
72,1092,356,84,170,669,21,1300,0,0,4,3.4,4.9,4.1,1,0,13,5320,4416,
73,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,1,0,8,345,286,
74,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,1,0,5,367,305,
75,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,1,0,7,155,129,
76,3088,1061,1009,772,241,5,544,2544,0,1.4,1.4,1.4,1.4,1,0,8,4266,4266,
77,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,1,0,3,440,440,
78,110,30,66,0,7,0,18,85,0,12.4,13.2,12.4,13.2,1,0,2,1362,1362,
79,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,2,0,6,2533,2533,
80,143,75,32,3,62,0,172,0,0,1.6,1.3,1.6,1.3,1,0,10,225,225,
81,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,1,0,13,11045,11045,
82,3460,484,1831,318,208,142,2756,227,0,9.5,11,9.5,11,4,0,24,32760,32760,
83,73,15,32,0,28,5,80,0,0,28.1,25.7,33.9,30.9,1,0,8,2475,2054,
84,64,4,56,0,7,0,11,56,0,3.9,3.8,3.9,3.8,1,0,7,252,252,
85,497,122,28,113,273,10,454,92,0,4.8,4.3,4.8,4.3,2,0,8,2362,2362,
86,288,201,0,36,76,0,99,214,0,8.5,7.9,10.3,9.5,1,0,5,2963,2459,
87,494,134,62,140,91,67,494,0,0,17.6,17.6,17.6,17.6,1,0,21,8706,8706,
88,130,60,65,0,0,0,14,111,0,5.9,6.2,5.9,6.2,1,0,6,770,770,
