recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
1,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,259.0,1176
2,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,246.0,1176
3,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,77.0,312
4,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,82.0,36
5,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,97.0,252
6,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,22.0,84
7,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,35.0,108
8,erb,avionicsmonitoring,g,2,1982,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,666.0,3528
9,gal,missionplanning,g,1,1980,semidetached,1.15,0.7,1.15,1.65,1.65,0.7,1.15,1.15,1.15,1.15,1.0,1.15,1.15,1.15,1.0,75.0,72
10,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.4,1.0,1.15,1.0,1.0,1.0,20.0,72
11,gal,missionplanning,g,1,1984,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.15,1.0,1.15,1.0,1.0,1.0,6.0,24
12,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.4,1.0,1.15,1.0,1.0,1.0,100.0,360
13,gal,missionplanning,g,1,1985,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.0,1.0,0.7,1.0,1.0,1.0,113.0,36
14,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.0,1.15,0.7,1.15,1.15,1.15,0.7,0.5,1.0,1.0,1.0,100.0,215
15,gal,missionplanning,g,1,1983,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.15,1.0,1.15,1.0,1.0,1.0,20.0,48
16,gal,missionplanning,g,1,1982,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100.0,360
17,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.65,0.7,0.7,1.15,1.4,1.4,1.0,1.15,1.0,1.0,1.0,150.0,324
18,gal,missionplanning,g,1,1984,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,1.0,1.0,315.0,60
19,gal,missionplanning,g,1,1983,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.15,1.0,1.15,1.0,1.0,1.0,15.0,48
20,gal,missionplanning,g,1,1984,semidetached,1.0,0.7,1.15,1.0,1.65,0.7,0.7,1.15,1.15,1.0,1.0,1.15,1.0,1.0,1.0,325.0,60
21,X,avionicsmonitoring,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,197.0,60
22,X,avionicsmonitoring,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,666.0,300
23,X,simulation,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,295.0,120
24,X,monitor_control,g,2,1986,semidetached,1.15,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,15.0,90
25,X,monitor_control,g,2,1986,semidetached,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,38.0,210
26,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,10.0,48
27,X,realdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,154.0,70
28,X,realdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,485.0,239
29,X,realdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,163.0,82
30,X,communications,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,128.0,62
31,X,batchdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,326.0,170
32,X,datacapture,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,355.0,192
33,X,missionplanning,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,55.0,18
34,X,avionicsmonitoring,g,2,1987,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,104.0,50
35,X,avionicsmonitoring,g,2,1987,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,14.0,60
36,X,monitor_control,g,2,1986,semidetached,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,42
37,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,60
38,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.15,1.0,1.15,1.15,1.15,1.0,90.0,444
39,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,42
40,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,114
41,hst,datacapture,g,2,1980,semidetached,1.0,1.15,1.15,1.4,1.15,0.7,1.15,1.15,1.0,1.15,0.7,1.15,1.15,1.0,0.7,1779.0,1248
42,slp,launchprocessing,g,6,1975,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.15,1.0,1.0,1.15,0.5,1.0,302.0,2400
43,Y,application_ground,g,5,1982,semidetached,1.0,1.15,0.7,1.0,1.0,1.15,1.0,1.15,1.15,1.0,1.0,1.0,1.15,1.15,1.0,2821.0,1368
44,Y,application_ground,g,5,1982,semidetached,1.15,1.15,0.7,1.0,1.0,1.0,1.15,1.15,1.15,1.0,1.0,1.0,1.15,1.0,1.0,2847.0,973
45,Y,avionicsmonitoring,g,5,1982,semidetached,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.15,1.15,1.0,1.15,1.0,1.0,1.0,79.0,400
46,Y,avionicsmonitoring,g,5,1977,semidetached,0.7,1.0,1.0,1.0,1.0,0.7,0.7,1.15,1.15,1.4,1.0,1.15,0.7,0.7,1.15,423.0,2400
47,Y,missionplanning,g,5,1977,semidetached,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.15,1.4,1.4,0.7,1.15,1.15,1.0,1.0,190.0,420
48,Y,missionplanning,g,5,1984,semidetached,1.0,1.0,1.15,1.0,1.15,1.0,1.0,1.15,1.15,1.0,1.0,1.15,1.15,1.0,1.15,475.0,252
49,Y,missionplanning,g,5,1980,semidetached,1.4,1.0,1.65,1.15,1.15,0.7,0.7,1.0,1.15,1.0,1.0,1.0,0.7,1.15,1.0,21.0,107
50,Y,simulation,g,5,1983,semidetached,1.0,1.15,1.15,1.4,1.0,1.0,1.15,1.15,1.15,1.15,1.0,1.15,0.7,0.7,1.15,78.0,5714
51,Y,simulation,g,5,1984,semidetached,1.0,1.15,1.15,1.4,1.0,1.0,1.15,1.15,1.15,1.15,1.0,1.15,0.7,0.7,1.15,114.0,988
52,Y,simulation,g,5,1985,semidetached,1.0,1.15,1.15,1.4,1.0,1.0,1.15,1.15,1.15,1.15,1.0,1.15,0.7,0.7,1.15,193.0,155
53,Y,missionplanning,g,5,1979,semidetached,1.15,1.0,1.4,1.15,1.15,0.7,1.15,1.15,1.0,1.0,1.15,1.15,0.7,1.4,1.15,101.0,750
54,Y,missionplanning,g,5,1979,semidetached,1.15,1.0,1.15,1.15,1.15,0.7,1.15,1.0,1.15,1.0,1.0,1.0,0.7,1.4,1.0,219.0,2120
55,Y,utility,g,5,1979,semidetached,1.15,1.0,1.15,1.15,1.15,0.7,1.15,1.0,1.15,1.0,1.0,1.0,0.7,1.4,1.0,50.0,370
56,spl,datacapture,g,2,1979,semidetached,1.4,1.15,1.15,1.4,1.4,1.0,1.0,1.4,1.4,1.4,1.0,1.15,1.15,1.15,0.7,227.0,1181
57,spl,batchdataprocessing,g,2,1977,semidetached,1.0,1.15,1.4,1.0,1.0,0.7,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.0,0.7,70.0,278
58,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,9.0,84
59,slp,operatingsystem,g,6,1974,semidetached,1.4,0.7,1.65,1.65,1.4,0.7,0.7,1.15,1.4,1.15,0.5,1.15,0.5,0.5,1.15,980.0,4560
60,slp,operatingsystem,g,6,1975,embedded,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.4,1.0,1.4,1.15,1.15,1.0,0.7,1.0,350.0,720
61,Y,operatingsystem,g,5,1976,embedded,1.15,1.0,1.65,1.15,1.15,0.7,0.7,1.15,1.0,1.0,1.15,1.15,1.15,1.15,1.0,70.0,458
62,Y,utility,g,5,1979,embedded,1.15,1.0,1.65,1.15,1.15,0.7,0.7,1.15,1.0,1.0,1.15,1.15,1.15,1.15,1.0,271.0,2460
63,Y,avionicsmonitoring,g,5,1971,organic,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.7,1.0,90.0,162
64,Y,avionicsmonitoring,g,5,1980,organic,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.7,1.0,40.0,150
65,Y,avionicsmonitoring,g,5,1979,embedded,1.15,1.0,1.15,1.15,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,1.0,1.0,137.0,636
66,Y,avionicsmonitoring,g,5,1977,embedded,1.15,1.0,1.15,1.15,1.0,1.15,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.5,1.0,150.0,882
67,Y,avionicsmonitoring,g,5,1976,embedded,1.4,1.0,1.15,1.15,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,1.0,1.0,339.0,444
68,Y,avionicsmonitoring,g,5,1983,organic,0.7,1.15,0.7,1.0,1.0,1.15,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.7,1.0,240.0,192
69,Y,avionicsmonitoring,g,5,1978,semidetached,1.15,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,144.0,576
70,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,0.7,1.0,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,151.0,432
71,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,0.7,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,34.0,72
72,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,98.0,300
73,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,85.0,300
74,Y,avionicsmonitoring,g,5,1982,semidetached,1.0,0.7,1.0,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,20.0,240
75,Y,avionicsmonitoring,g,5,1978,semidetached,1.0,0.7,1.0,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,111.0,600
76,Y,avionicsmonitoring,g,5,1978,semidetached,1.15,1.4,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,162.0,756
77,Y,avionicsmonitoring,g,5,1978,semidetached,1.15,1.15,1.4,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,352.0,1200
78,Y,operatingsystem,g,5,1979,semidetached,1.15,1.0,1.4,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,165.0,97
79,Y,missionplanning,g,5,1984,embedded,1.15,1.0,1.4,1.15,1.15,0.7,1.4,1.15,1.0,1.0,1.15,1.15,1.15,1.4,1.15,60.0,409
80,Y,missionplanning,g,5,1984,embedded,1.15,1.0,1.4,1.15,1.15,0.7,1.4,1.15,1.0,1.0,1.15,1.15,1.15,1.4,1.15,100.0,703
81,hst,Avionics,f,2,1980,embedded,1.15,1.4,1.4,1.65,1.65,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,32.0,1350
