ID,AFP,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Effort
1,1587,47,5,47,5,7490
2,260,16,166,16,166,4150
3,152,44,41,44,41,668
4,252,128,143,155,173,3238
5,292,103,98,124,117,2994
6,83,161,153,193,185,1333
7,79,203,209,245,251,1607
8,97,119,97,119,97,1158
9,116,107,108,129,13,1243
10,52,648,733,781,883,3372
11,465,219,222,219,222,10200
12,67,254,284,306,342,1704
13,199,133,123,152,142,2640
14,176,19,199,19,199,3348
15,391,17,2,21,24,676
16,263,35,35,35,35,911
17,42,594,48,594,48,2496
18,190,62,58,62,58,1171
19,245,144,169,144,169,3532
20,77,57,62,68,75,436
21,355,26,26,31,31,909
22,3156,29,34,35,41,9094
23,46,75,65,75,65,344
24,56,53,56,53,56,296
25,106,33,369,398,444,3503
26,71,35,33,42,39,246
27,306,68,68,68,68,2082
28,244,8,8,8,8,191
29,98,303,261,366,314,2974
30,331,1,11,12,13,328
31,101,4,36,4,36,406
32,192,93,9,112,109,1785
33,60,79,7,79,7,471
34,180,39,38,39,38,700
35,118,49,48,59,58,579
36,73,166,168,20,203,1211
37,143,8,84,96,102,1139
38,2190,66,8,76,91,14520
39,9,266,239,266,239,239
40,203,62,63,75,76,1262
41,162,108,112,108,112,1754
42,183,83,84,10,101,1514
43,59,113,117,136,141,667
44,412,142,142,142,142,5864
45,348,28,3,34,36,973
46,2529,21,26,21,26,5333
47,250,71,86,71,86,1775
48,206,1,1,12,12,204
49,617,51,57,61,68,3148
50,173,504,492,607,593,8716
51,286,51,55,51,55,1464
52,52,261,266,315,321,1358
53,45,62,48,62,48,281
54,104,223,232,269,28,2321
55,465,87,81,105,98,4054
56,2145,11,11,11,11,2400
57,283,20,193,20,193,5650
58,109,14,144,169,173,1525
59,160,3,3,36,36,477
60,65,77,79,93,95,503
61,366,231,239,279,287,8470
62,63,123,132,149,159,778
63,309,84,68,84,68,2597
64,610,16,17,16,17,950
65,562,102,114,102,114,5727
66,156,131,14,158,168,2040
67,75,49,49,591,591,3677
68,136,42,45,51,54,570
69,96,127,103,472,381,1223
70,78,125,125,139,139,976
71,51,76,69,91,83,387
72,1092,4,34,49,41,4416
73,134,21,21,26,26,286
74,75,41,44,49,53,305
75,88,15,16,18,19,129
76,3088,14,14,14,14,4266
77,82,54,44,54,44,440
78,110,124,132,124,132,1362
79,308,82,71,82,71,2533
80,143,16,13,16,13,225
81,826,134,137,134,137,11045
82,3460,95,11,95,11,32760
83,73,281,257,339,309,2054
84,64,39,38,39,38,252
85,497,48,43,48,43,2362
86,288,85,79,103,95,2459
87,494,176,176,176,176,8706
88,130,59,62,59,62,770
89,204,398,354,398,354,8111
90,17,448,448,448,448,762
91,60,23,19,27,23,136
92,73,49,54,59,65,358
93,169,28,28,34,34,481
94,1351,24,24,28,29,3189
95,2087,108,11,108,11,22500
96,253,463,463,498,498,11719
97,102,18,18,24,24,183
98,115,129,144,155,173,1482
99,288,43,42,43,42,1251
100,199,47,5,57,6,943
101,163,165,173,198,209,2684
102,97,75,58,75,58,729
103,439,83,87,83,87,3630
104,3113,109,109,135,135,34085
105,153,187,20,215,23,2856
106,670,86,89,104,108,5757
107,129,49,41,49,41,631
108,329,66,54,66,54,2184
109,5684,37,43,37,43,21014
110,61,68,58,82,7,417
111,267,10,8,10,8,2683
112,218,254,244,306,294,5532
113,919,52,54,63,66,4815
114,66,37,42,45,5,246
115,54,127,132,153,159,686
116,245,19,16,36,29,470
117,54,73,76,88,92,395
118,151,72,83,82,95,1080
119,103,136,133,136,133,1396
120,300,98,105,98,105,2933
121,249,183,183,183,183,4551
122,224,134,139,161,167,2999
123,1984,13,16,13,16,2540
124,58,4,5,5,5,26
125,56,8,85,96,102,448
126,244,37,35,45,42,906
127,12,176,162,176,162,211
128,1416,12,15,12,15,1724
129,67,236,223,272,256,1584
130,95,16,16,19,19,148
131,2376,107,115,129,138,25482
132,442,15,14,15,14,683
133,68,371,376,447,453,2521
134,268,109,109,109,109,2933
135,90,55,51,66,62,494
136,72,68,68,68,68,486
137,505,98,105,98,105,4955
138,450,136,146,136,146,6138
139,230,63,54,76,65,1451
140,242,13,14,15,17,311
141,106,231,237,278,286,2445
142,31,76,76,76,76,237
143,1186,31,3,31,3,3711
144,256,115,108,115,108,2941
145,191,127,126,127,126,2430
146,213,119,127,143,153,2532
147,4562,58,67,58,67,26408
148,141,88,9,106,109,1244
149,187,3,28,36,34,562
150,128,258,258,561,561,3303
151,194,26,28,36,39,499
152,869,24,22,24,22,2078
153,125,186,202,224,244,2326
154,477,57,55,57,55,2741
155,717,49,46,6,56,3546
156,25,56,5,56,5,140
157,73,192,192,192,192,1404
158,100,93,9,112,109,929
159,273,19,17,19,17,528
160,587,64,72,64,72,3748
161,1437,34,37,34,37,4900
162,97,191,163,191,163,1853
163,224,129,148,148,17,2890
164,321,34,34,34,34,1076
165,99,241,244,291,293,2387
166,416,38,41,46,49,1586
167,71,14,153,169,185,997
168,120,18,18,18,18,212
169,213,6,55,6,55,1278
170,1634,43,43,43,43,7060
171,275,26,28,26,28,702
172,458,2,2,2,2,903
173,218,31,338,374,408,6765
174,498,165,185,165,185,8227
175,143,23,25,28,3,334
176,722,58,67,58,67,4164
177,236,29,255,29,255,6844
178,239,69,68,69,68,1661
179,1882,32,31,32,31,6068
180,291,208,188,224,202,6063
181,328,2,21,2,21,665
182,264,21,2,21,2,544
183,270,33,33,33,33,893
184,32,11,121,11,121,352
185,1382,24,23,24,23,3344
186,98,41,42,5,5,404
187,289,198,183,198,183,5732
188,1059,216,24,249,276,22920
189,724,13,135,157,163,9409
190,40,71,58,71,58,285
191,128,101,107,122,129,1293
192,1248,122,138,122,138,15165
193,387,85,84,102,101,3287
194,73,105,109,126,131,764
195,151,145,16,175,193,2194
196,465,43,45,52,55,2014
197,63,131,133,158,161,827
198,226,111,122,111,122,2508
199,115,17,17,17,17,201
200,189,3,31,3,31,563
201,55,97,92,117,111,534
202,85,122,13,147,157,1039
203,2143,202,24,243,29,43303
204,520,6,73,6,73,3133
205,113,159,177,183,203,1801
206,264,10,101,12,122,2639
207,349,68,68,68,68,2360
208,229,11,105,127,12,2520
209,172,104,106,104,106,1788
210,323,38,38,38,38,1238
211,89,5,46,5,46,442
212,878,38,41,43,45,3368
213,220,13,13,13,13,281
214,150,46,46,55,56,687
215,161,14,13,14,13,220
216,804,142,119,171,143,11388
217,272,357,397,411,456,9720
218,33,44,36,44,36,145
219,64,22,22,22,22,140
220,277,46,5,46,5,1265
221,322,163,175,196,211,5242
222,164,17,182,17,182,2791
223,145,51,52,62,62,742
224,73,8,81,96,98,584
225,245,36,3,36,3,893
226,406,139,145,167,174,5639
227,98,565,576,68,694,5533
228,83,49,5,6,6,410
229,182,55,64,66,77,1001
230,820,31,27,31,27,2552
231,545,16,16,16,16,8740
232,105,19,19,19,19,198
233,55,427,46,514,555,2347
234,62,132,118,159,143,817
235,109,23,24,28,29,249
236,436,178,178,178,178,7762
237,179,43,41,52,5,776
238,1710,77,69,77,69,13130
239,128,128,137,148,158,1644
240,174,777,966,777,966,13528
241,70,88,91,106,109,617
242,379,63,63,63,63,2391
243,258,23,23,23,23,605
244,129,16,171,184,196,2064
245,856,3,3,3,3,2551
246,127,131,14,158,169,1668
247,381,48,55,48,55,1817
248,234,218,218,218,218,5103
249,215,132,131,159,157,2836
250,1406,106,113,105,111,14938
251,85,123,99,123,99,1049
252,59,18,149,217,18,1061
253,358,389,412,468,496,13919
254,73,503,593,607,714,3675
255,597,43,42,43,42,2542
256,276,81,87,81,87,2244
257,728,111,131,133,158,8046
258,59,838,899,101,1083,4945
259,98,134,14,161,168,1313
260,756,43,44,43,44,3214
261,155,31,31,38,38,483
262,544,42,49,51,59,2306
263,813,2,19,2,19,1634
264,75,96,77,96,77,720
265,112,96,9,96,9,1073
266,211,169,169,169,169,3566
267,895,9,1,9,1,780
268,74,54,54,54,54,3995
269,3331,147,168,147,168,49034
270,64,61,63,74,76,392
271,1402,126,123,123,12,17607
272,337,18,18,19,19,591
273,73,111,105,134,127,812
274,64,88,88,106,106,564
275,1703,5,58,5,58,8549
276,151,26,26,29,29,391
277,66,275,284,332,342,1817
278,70,77,73,94,89,540
279,754,99,103,119,124,7443
280,325,267,312,321,375,8663
281,168,275,233,275,233,4622
282,226,4,35,4,35,915
283,335,758,72,758,72,25401
284,76,75,76,9,91,569
285,221,68,71,82,85,1512
286,1010,5,61,5,61,5053
287,116,167,149,167,149,1939
288,39,29,27,29,27,114
289,170,9,103,9,103,1532
290,179,264,245,318,295,4723
291,166,179,181,216,218,2971
292,354,165,165,165,165,5841
293,615,15,15,15,15,941
294,126,82,77,82,77,1035
295,1390,4,45,4,45,5597
296,129,232,217,279,261,2988
297,203,159,159,159,159,3219
298,758,61,71,61,71,4630
299,558,74,89,74,89,4112
300,25,232,232,232,232,580
301,850,129,143,155,172,10942
302,235,4,34,48,4,937
303,58,434,449,522,541,2515
304,316,82,86,82,86,2600
305,7633,33,35,33,35,25217
306,119,15,15,18,18,176
307,55,62,58,75,7,341
308,1644,99,11,99,11,16357
309,1193,25,25,3,31,3006
310,605,28,29,34,35,1694
311,389,29,31,29,31,1134
312,132,9,93,108,112,1186
