recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
1,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,259,1176
2,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,246,1176
3,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,77,312
4,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,82,36
5,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,97,252
6,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,22,84
7,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,35,108
8,erb,avionicsmonitoring,g,2,1982,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,666,3528
9,gal,missionplanning,g,1,1980,semidetached,1.15,0.7,1.15,1.65,1.65,0.7,1.15,1.15,1.15,1.15,1.0,1.15,1.15,1.15,1.0,75,72
10,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.4,1.0,1.15,1.0,1.0,1.0,20,72
11,gal,missionplanning,g,1,1984,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.15,1.0,1.15,1.0,1.0,1.0,6,24
12,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.4,1.0,1.15,1.0,1.0,1.0,100,360
13,gal,missionplanning,g,1,1985,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.0,1.0,0.7,1.0,1.0,1.0,113,36
14,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.0,1.15,0.7,1.15,1.15,1.15,0.7,0.5,1.0,1.0,1.0,100,215
15,gal,missionplanning,g,1,1983,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.15,1.0,1.15,1.0,1.0,1.0,20,48
16,gal,missionplanning,g,1,1982,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,360
17,gal,missionplanning,g,1,1980,semidetached,1.0,0.7,1.15,1.0,1.65,0.7,0.7,1.15,1.4,1.4,1.0,1.15,1.0,1.0,1.0,150,324
18,gal,missionplanning,g,1,1984,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,1.0,1.0,315,60
19,gal,missionplanning,g,1,1983,semidetached,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.15,1.4,1.15,1.0,1.15,1.0,1.0,1.0,15,48
20,gal,missionplanning,g,1,1984,semidetached,1.0,0.7,1.15,1.0,1.65,0.7,0.7,1.15,1.15,1.0,1.0,1.15,1.0,1.0,1.0,325,60
21,X,avionicsmonitoring,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,197,60
22,X,avionicsmonitoring,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,666,300
23,X,simulation,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,295,120
24,X,monitor_control,g,2,1986,semidetached,1.15,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,15,90
25,X,monitor_control,g,2,1986,semidetached,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,38,210
26,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,10,48
27,X,realdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,154,70
28,X,realdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,485,239
