AFP,Input,Output,Enquiry,File,Interface,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,N_effort,Effort
409,299,51,0,0,59,7.8411,7.449045,8.548251639937279,6.7903146569918045,3159.195902363601,3207
455,12,122,118,203,0,9.2747,8.810965,8.799882808811528,8.023092385486263,4172.018046147061,4220
553,316,0,102,59,76,8.7939,8.354205,8.883055030372883,8.014702906733806,5301.04671399061,4863
326,0,177,0,0,149,10.2147,9.703965,10.734073057180945,9.142640359896909,3569.8622777025757,3330
308,0,54,15,153,86,8.4221,8.000995,8.740033245264838,8.447939918260726,2715.137353230395,2594
154,12,8,114,0,20,21.2792,20.21524,22.97035638943497,20.005812727365612,3270.5664452131327,3277
223,0,218,0,0,5,11.3767,10.807865,10.97668510824107,10.041200197511625,2543.846774801648,2537
294,0,0,175,22,97,16.2415,15.429424999999998,17.56093292836988,15.789459847294877,4853.279313113978,4775
832,310,65,66,292,99,6.22,5.909,6.7552854668181,5.408450098088839,5015.703086125927,5175
1470,774,9,66,473,148,5.1034,4.848229999999999,5.213797509736932,5.080328264090047,7519.683912386496,7502
532,365,100,0,0,67,7.2538,6.891109999999999,7.871277541371707,6.523556919865936,3728.317017619943,3859
598,0,0,282,129,187,12.3077,11.692315,12.138855681386376,11.880151285459254,7613.611018034266,7360
703,293,161,117,82,50,8.3272,7.910839999999999,8.73649233840216,8.240209556870182,5808.67385204116,5854
1047,619,0,200,228,0,7.1824,6.82328,7.7939099558344545,6.69396286961354,7584.655349940218,7520
520,0,520,0,0,0,8.4096,7.989119999999999,8.605446940704178,7.718428324441733,4553.382166473763,4373
1443,737,67,68,458,113,5.1656,4.90732,5.385432239843917,5.160969794271103,7844.191058367836,7454
399,0,0,201,181,17,12.203,11.59285,12.080713713249818,12.668110821928254,5221.0107551673655,4869
274,0,235,0,0,39,10.5474,10.020029999999998,10.082997613153069,10.527485370576928,2809.659409067162,2890
1441,1275,0,162,0,4,6.5566,6.22877,6.963861790056334,6.417855550646917,9594.078831723711,9448
517,172,268,0,0,77,7.9807,7.581664999999999,7.647488424929955,7.443767385997537,3966.5722891656096,4126
1115,897,173,0,0,45,5.8179,5.527005,5.9955385123740985,5.029000004440396,6231.991286421717,6487
935,513,304,56,6,56,7.0866,6.73227,6.602098681950595,6.098472349160258,7233.021836015901,6626
607,14,401,80,112,0,8.5502,8.12269,9.176943497472651,7.840930946007238,5360.301377856684,5190
363,0,353,0,0,10,9.3967,8.926865,8.531643369751537,8.223328359883002,3671.134888622069,3411
1541,1099,126,0,288,28,4.806,4.5657,4.946945693000169,4.139576469472584,7985.707575520362,7406
890,0,654,141,0,95,9.236,8.7742,8.732724839401898,8.49809883377902,8533.086333181645,8220
764,238,238,0,288,0,5.3887,5.119265,5.837081712802418,4.810319057621801,4303.291869327075,4117
563,0,505,0,0,58,8.3517,7.9341149999999985,7.564059716980117,7.422253058574757,4699.621925594684,4702
780,242,336,20,115,67,6.7821,6.442995,6.975658082101467,6.775370743452635,5241.733154428219,5290
293,0,22,184,0,87,16.9044,16.059179999999998,16.963619033673577,16.01554102719359,5116.1233560724,4953
365,365,0,0,0,0,7.5397,7.162715,6.924113562484959,6.47797519259857,2758.8204758899524,2752
396,128,36,171,38,23,12.5783,11.949385,12.22834545436742,10.921226512982352,4746.59012455259,4981
528,0,0,108,420,0,6.786,6.446699999999999,7.40008483978314,7.041912563892678,3539.548598798531,3583
673,198,99,291,85,0,11.2392,10.67724,11.232637824351364,11.338324160394013,7647.337847890631,7564
1667,652,681,232,0,102,7.6797,7.295715,7.927753178939446,7.786080265587056,12219.17476084031,12802
569,0,362,21,150,36,7.4429,7.070754999999999,7.115477835356438,7.244343785877859,4092.764073179439,4235
656,404,31,0,139,82,5.9863,5.686985,5.530386846688418,5.97612134324122,3764.77336618479,3927
1672,1394,0,182,96,0,6.2321,5.920495,6.266388791789015,6.232548790643575,11152.877618924982,10420
839,0,506,59,117,157,7.8451,7.452845,8.500226088782147,7.547927790699299,6949.93262531996,6582
70,0,0,70,0,0,32.9143,31.268584999999995,31.46007172719678,31.30243534443423,2190.9674757847906,2304
206,0,0,0,206,0,7.1311,6.774545,7.284098245437284,6.778021287335392,1553.8884707337552,1469
745,0,306,116,76,247,9.2255,8.764225,8.578949840566546,8.260278147146433,6942.449577292857,6873
556,463,0,0,93,0,5.982,5.6829,6.138868461060298,5.95708769653203,3200.8323788185558,3326
355,0,211,40,101,3,9.2845,8.820274999999999,9.328922051316544,8.759642041718223,3443.4500267556346,3296
413,0,118,22,242,31,6.8886,6.54417,7.00642048680029,6.726326970173874,3006.400435310451,2845
1315,347,374,302,242,50,8.146,7.738700000000001,7.8069223751506,6.988347353508939,10603.655488869348,10712
207,110,60,0,37,0,9.9614,9.46333,10.27704991932333,8.920421581939147,2068.8593081539266,2062
993,0,561,58,364,10,6.2659,5.952605,6.386120911416136,6.069838229476796,6012.048212940703,6222
1033,469,216,115,100,133,7.3243,6.958085,7.409679484360231,7.0856492372089885,7579.879919993825,7566
227,87,47,93,0,0,14.7885,14.049075,13.75439972143714,13.973633212945057,3453.448711046787,3357
91,0,91,0,0,0,18.8352,17.89344,20.37146115598594,17.025083719816813,1775.227444548529,1714
1272,891,0,233,148,0,7.1808,6.821759999999999,7.302374279117555,6.955971949007801,9351.381704663356,9134
727,509,87,0,131,0,5.6768,5.39296,5.700678215542324,5.61106137035904,4349.8859812294695,4127
1069,657,348,18,0,46,6.3826,6.06347,6.043864519258725,6.00439644567661,6649.369728354111,6823
593,333,232,0,28,0,6.9022,6.55709,7.550799024703735,6.478869179548532,4467.06121877202,4093
761,339,0,45,251,126,6.1564,5.848579999999999,5.882034241041536,6.3260196241177935,4836.4699092434,4685
1097,1030,0,0,0,67,5.6135,5.332825,5.054992021041072,5.524355081670554,5943.555896672192,6158
567,63,0,245,193,66,11.0159,10.465105,10.494570528539834,10.327447383199456,6030.298525069555,6246
460,184,0,0,173,103,6.4652,6.14194,6.388900382744567,5.995735787375126,3209.983038104056,2974
1110,845,126,56,0,83,6.4568,6.13396,6.11835244993447,6.519308633306195,7373.244171844589,7167
586,431,155,0,0,0,6.8311,6.489545,6.612903344802689,6.02354790705223,3810.006314140645,4003
698,197,70,176,255,0,8.2335,7.821824999999999,7.876047454545811,8.186238946381122,5501.907420031378,5747
1492,0,802,164,382,144,7.0147,6.663965,7.608219030970019,6.832677945150809,10556.072194033828,10466
200,0,47,153,0,0,19.82,18.829,18.273796734414635,19.23399405816093,4120.790119407125,3964
2033,1555,158,99,133,88,5.6247,5.343464999999999,5.1989039123860215,5.199845748622151,10892.179463890245,11435
1063,763,0,0,224,76,5.079,4.825049999999999,5.031778537281612,4.8565071256373535,5148.429795305008,5399
539,398,13,0,0,128,7.2486,6.886169999999999,7.118261778446829,7.120433174012558,3768.905383465149,3907
368,214,0,154,0,0,12.5788,11.94986,12.159431093216076,12.029553482300944,4457.620517512299,4629
1377,336,554,0,453,34,5.0908,4.836259999999999,5.205405419819131,4.494652087718277,7445.864824895158,7010
126,0,0,0,126,0,10.6746,10.14087,10.724917540855378,10.971618658467552,1446.7613643188934,1345
975,661,125,125,64,0,7.1662,6.80789,7.109633088062886,6.214015400655972,7234.881241087583,6987
700,0,259,60,381,0,6.1943,5.884585,6.449311128736111,5.790003525563861,4229.455269929216,4336
738,342,111,16,185,84,6.0989,5.793955,5.960387657541746,5.27194549281278,4710.941590300409,4501
764,598,155,11,0,0,6.4359,6.114105,6.944653386187544,5.8416235210755305,5208.260825142177,4917
887,416,46,35,318,72,5.4735,5.199825,5.826205985232066,4.912068111881815,4939.992080859621,4855
1336,540,108,220,468,0,6.396,6.0762,6.849844854617182,6.2604405060984325,8927.30618528529,8545
577,81,0,0,496,0,3.9428,3.74566,4.299964758422584,3.612991682319067,2459.1921676248144,2275
592,95,200,0,297,0,5.5203,5.244285,5.327043701085462,5.71808229073426,3491.821527384676,3268
626,366,199,0,61,0,6.5256,6.199319999999999,6.631431083483872,6.472405347700789,4056.819450990039,4085
648,100,111,75,234,128,7.4182,7.047289999999999,7.053564708019026,7.172090117599357,5087.036284166029,4807
446,167,0,0,279,0,5.1928,4.93316,5.020016529273319,5.292930651709759,2458.411632002011,2316
892,568,0,58,204,62,6.0168,5.71596,6.025022423040343,5.555164897001244,5218.189909555282,5367
361,10,0,77,274,0,8.0028,7.60266,8.053532742003865,7.477805857121685,2861.579361426333,2889
626,279,128,64,78,77,7.8339,7.442204999999999,8.206779148308366,6.823703283272108,5277.057088141218,4904
