recordnumber;projectname;cat2;forg;center;year;mode;rely;data;cplx;time;stor;virt;turn;acap;aexp;pcap;vexp;lexp;modp;tool;sced;equivphyskloc;act_effort
1;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;259;1176
2;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;246;1176
3;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;77;312
4;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;82;36
5;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;97;252
6;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;22;84
7;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;35;108
8;erb;avionicsmonitoring;g;2;1982;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;666;3528
9;gal;missionplanning;g;1;1980;semidetached;h;l;h;xh;xh;l;h;h;h;h;n;h;h;h;n;75;72
10;gal;missionplanning;g;1;1980;semidetached;n;l;h;n;n;l;l;h;vh;vh;n;h;n;n;n;20;72
11;gal;missionplanning;g;1;1984;semidetached;n;l;h;n;n;l;l;h;vh;h;n;h;n;n;n;6;24
12;gal;missionplanning;g;1;1980;semidetached;n;l;h;n;n;l;l;h;vh;vh;n;h;n;n;n;100;360
13;gal;missionplanning;g;1;1985;semidetached;n;l;h;n;n;l;l;h;vh;n;n;l;n;n;n;113;36
14;gal;missionplanning;g;1;1980;semidetached;n;l;h;n;n;h;l;h;h;h;l;vl;n;n;n;100;215
15;gal;missionplanning;g;1;1983;semidetached;n;l;h;n;n;l;l;h;vh;h;n;h;n;n;n;20;48
16;gal;missionplanning;g;1;1982;semidetached;n;l;h;n;n;l;l;h;n;n;n;vl;n;n;n;100;360
17;gal;missionplanning;g;1;1980;semidetached;n;l;h;n;xh;l;l;h;vh;vh;n;h;n;n;n;150;324
18;gal;missionplanning;g;1;1984;semidetached;n;l;h;n;n;l;l;h;h;h;n;h;n;n;n;315;60
19;gal;missionplanning;g;1;1983;semidetached;n;l;h;n;n;l;l;h;vh;h;n;h;n;n;n;15;48
20;gal;missionplanning;g;1;1984;semidetached;n;l;h;n;xh;l;l;h;h;n;n;h;n;n;n;325;60
21;X;avionicsmonitoring;g;2;1985;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;197;60
22;X;avionicsmonitoring;g;2;1985;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;666;300
23;X;simulation;g;2;1985;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;295;120
24;X;monitor_control;g;2;1986;semidetached;h;n;n;h;n;n;n;n;h;h;n;n;n;n;n;15;90
25;X;monitor_control;g;2;1986;semidetached;h;n;h;n;n;n;n;n;h;h;n;n;n;n;n;38;210
26;X;monitor_control;g;2;1986;semidetached;n;n;n;n;n;n;n;n;h;h;n;n;n;n;n;10;48
27;X;realdataprocessing;g;2;1982;semidetached;n;vh;h;vh;vh;l;h;vh;h;n;l;h;vh;vh;l;154;70
28;X;realdataprocessing;g;2;1982;semidetached;n;vh;h;vh;vh;l;h;vh;h;n;l;h;vh;vh;l;485;239
29;X;realdataprocessing;g;2;1982;semidetached;n;vh;h;vh;vh;l;h;vh;h;n;l;h;vh;vh;l;163;82
30;X;communications;g;2;1982;semidetached;n;vh;h;vh;vh;l;h;vh;h;n;l;h;vh;vh;l;128;62
31;X;batchdataprocessing;g;2;1982;semidetached;n;vh;h;vh;vh;l;h;vh;h;n;l;h;vh;vh;l;326;170
32;X;datacapture;g;2;1982;semidetached;n;vh;h;vh;vh;l;h;vh;h;n;l;h;vh;vh;l;355;192
33;X;missionplanning;g;2;1985;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;55;18
34;X;avionicsmonitoring;g;2;1987;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;104;50
35;X;avionicsmonitoring;g;2;1987;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;14;60
36;X;monitor_control;g;2;1986;semidetached;h;n;h;n;n;n;n;n;n;n;n;n;n;n;n;65;42
37;X;monitor_control;g;2;1986;semidetached;n;n;h;n;n;n;n;n;n;n;n;n;n;n;n;13;60
38;X;monitor_control;g;2;1986;semidetached;n;n;h;n;n;n;n;n;n;h;n;h;h;h;n;90;444
39;X;monitor_control;g;2;1986;semidetached;n;n;h;n;n;n;n;n;n;n;n;n;n;n;n;8;42
40;X;monitor_control;g;2;1986;semidetached;n;n;h;h;n;n;n;n;n;n;n;n;n;n;n;16;114
41;hst;datacapture;g;2;1980;semidetached;n;h;h;vh;h;l;h;h;n;h;l;h;h;n;l;1779;1248
42;slp;launchprocessing;g;6;1975;semidetached;h;l;h;n;n;l;l;n;n;h;n;n;h;vl;n;302;2400
43;Y;application_ground;g;5;1982;semidetached;n;h;l;n;n;h;n;h;h;n;n;n;h;h;n;2821;1368
44;Y;application_ground;g;5;1982;semidetached;h;h;l;n;n;n;h;h;h;n;n;n;h;n;n;2847;973
45;Y;avionicsmonitoring;g;5;1982;semidetached;h;h;n;n;n;l;l;n;h;h;n;h;n;n;n;79;400
46;Y;avionicsmonitoring;g;5;1977;semidetached;l;n;n;n;n;l;l;h;h;vh;n;h;l;l;h;423;2400
47;Y;missionplanning;g;5;1977;semidetached;n;n;n;n;n;l;n;h;vh;vh;l;h;h;n;n;190;420
48;Y;missionplanning;g;5;1984;semidetached;n;n;h;n;h;n;n;h;h;n;n;h;h;n;h;475;252
49;Y;missionplanning;g;5;1980;semidetached;vh;n;xh;h;h;l;l;n;h;n;n;n;l;h;n;21;107
50;Y;simulation;g;5;1983;semidetached;n;h;h;vh;n;n;h;h;h;h;n;h;l;l;h;78;5714
51;Y;simulation;g;5;1984;semidetached;n;h;h;vh;n;n;h;h;h;h;n;h;l;l;h;114;988
52;Y;simulation;g;5;1985;semidetached;n;h;h;vh;n;n;h;h;h;h;n;h;l;l;h;193;155
53;Y;missionplanning;g;5;1979;semidetached;h;n;vh;h;h;l;h;h;n;n;h;h;l;vh;h;101;750
54;Y;missionplanning;g;5;1979;semidetached;h;n;h;h;h;l;h;n;h;n;n;n;l;vh;n;219;2120
55;Y;utility;g;5;1979;semidetached;h;n;h;h;h;l;h;n;h;n;n;n;l;vh;n;50;370
56;spl;datacapture;g;2;1979;semidetached;vh;h;h;vh;vh;n;n;vh;vh;vh;n;h;h;h;l;227;1181
57;spl;batchdataprocessing;g;2;1977;semidetached;n;h;vh;n;n;l;n;h;n;vh;l;n;h;n;l;70;278
